filename,words
1.jpg,"Số 3 Nguyễn Ngọc Vũ, Hà Nội"
2.jpg,"Số 30 Nguyên Hồng, Láng Hạ, Đống Đa, Hà Nội"
3.jpg,"58 Thái Thịnh, Đống Đa, Hà Nội"
4.jpeg,"Số 370/8 khu phố 5B, phường Tân Biên, Biên Hòa, Đồng Nai"
5.jpg,"Vĩnh Trung Plaza, B, 255-257 đường Hùng Vương, phường Vĩnh Trung"
6.jpg,"Tòa nhà 34T, Hoàng Đạo Thúy, Hà Nội"
7.jpg,"40 Cát Linh, Đống Đa, Hà Nội"
8.jpg,"phòng 101, tầng 1, lô 04-TT5B, khu đô thị Tây Nam Linh Đàm"
9.JPG,Nhà 87 ngõ 416 Đê La Thành
10.JPG,"Up coworking Space, 89 Láng Hạ, Hà Nội"
11.jpg,"192 Ngô Đức Kế, quận 1, Hồ Chí Minh"
12.jpg,"số 5 Công Trường Mê Linh, phường Bến Nghé, quận 1"
13.jpg,"90A đường Mai Xuân Thưởng, tỉnh Gia Lai"
14.jpg,"96/7/12B Phạm Văn Đồng, thành phố Pleiku"
15.jpg,"168 Ngô Gia Tự, thành phố Hà Tĩnh"
